pid, gender, rank, rank_s, rank_cj, name, born, nation, category, bweight, snatch1, snatch2, snatch3, snatch, jerk1, jerk2, jerk3, jerk, total, event, date
0, w, 1, 1, 1, BERRIO ZULUAGA Manuela Andrea, 18.06.2000, COL, 45, 44.65, 69, 72, 74, 74, 90, 93, 96, 96, 170, IberoAmerican Championships, 05.2019
1, w, 2, 2, 2, QUINTANA MENDOZA Rosielis Coromoto, 18.03.2000, VEN, 45, 44.70, 68, 71, *74, 71, 86, 90, *94, 90, 161, IberoAmerican Championships, 05.2019
2, w, 3, 3, 3, CUEVA URIBE Fiorella Francesca, 04.02.1998, PER, 45, 44.65, 65, 67, *69, 67, 80, 85, 89, 89, 156, IberoAmerican Championships, 05.2019
3, w, 4, 4, 4, BENAVIDES ZAMBRANO Maria Del Cisne, 06.04.1996, ECU, 45, 45.00, 61, *66, 66, 66, 72, *76, *76, 72, 138, IberoAmerican Championships, 05.2019
4, w, 5, 5, 5, SALDARRIAGA YOVERA  Anali Paola, 21.10.2003, PER, 45, 44.75, 53, 57, 60, 60, 70, *73, *73, 70, 130, IberoAmerican Championships, 05.2019
5, w, 1, 1, 1, PIRON CANDELARIO Beatriz Elizabeth, 27.02.1995, DOM, 49, 48.80, 81, *83, 83, 83, 99, 103, *105, 103, 186, IberoAmerican Championships, 05.2019
6, w, 2, 3, 3, ROSA FIGUEIREDO Nathasha, 16.01.1996, BRA, 49, 48.95, 75, 78, *80, 78, 92, 96, *98, 96, 174, IberoAmerican Championships, 05.2019
7, w, 3, 4, 2, CAMPOVERDE ALMEIDA Angelica Mercedes, 31.05.1996, ECU, 49, 48.60, 73, 76, 77, 77, 93, 97, *98, 97, 174, IberoAmerican Championships, 05.2019
8, w, 4, 5, 4, ECHANDIA ZARATE Katherin Oriana, 14.08.2001, VEN, 49, 48.35, 71, *75, 75, 75, 91, 95, *98, 95, 170, IberoAmerican Championships, 05.2019
9, w, 5, 2, 5, OLIVEIRA MADEIRA Luana, 31.01.1998, BRA, 49, 48.90, 73, 76, 79, 79, 90, *94, *95, 90, 169, IberoAmerican Championships, 05.2019
10, w, 6, 6, 6, MONSALVE PATINO Laura Alejandra, 02.06.2000, COL, 49, 48.95, *68, 68, 70, 70, 85, *89, *89, 85, 155, IberoAmerican Championships, 05.2019
11, w, 7, 7, 7, LANDEROS LOPEZ Katherine Ignacia, 19.01.1991, CHI, 49, 48.80, 64, *68, *68, 64, *84, 85, *88, 85, 149, IberoAmerican Championships, 05.2019
12, m, 1, 1, 1, GARCIA PEREZ Jairo Luis, 02.08.2000, COL, 55, 54.80, 105, *110, *110, 105, 130, 133, 136, 136, 241, IberoAmerican Championships, 05.2019
13, w, 1, 1, 3, RODRIGUEZ GOMEZ Genesis Lourdes, 17.07.1994, VEN, 55, 54.75, 90, 95, *98, 95, 111, *114, *114, 111, 206, IberoAmerican Championships, 05.2019
14, w, 2, 2, 1, SINISTERRA TORRES Yenny, 04.05.2000, COL, 55, 54.95, 85, 90, *92, 90, 110, 113, , 113, 203, IberoAmerican Championships, 05.2019
15, m, 2, 2, 2, SANCHEZ GUTIERREZ Winder Alejandro, 14.09.2001, VEN, 55, 54.25, 98, 102, *105, 102, 128, 131, *134, 131, 233, IberoAmerican Championships, 05.2019
16, w, 3, 3, 2, ESCOBAR GUERRERO Maria Alexandra, 17.07.1980, ECU, 55, 54.85, 88, *91, *91, 88, 108, 112, *114, 112, 200, IberoAmerican Championships, 05.2019
17, w, 4, 6, 4, QUINONEZ MARTINEZ Vanessa, 16.01.1993, COL, 55, 54.75, *83, 83, *86, 83, 105, 109, *113, 109, 192, IberoAmerican Championships, 05.2019
18, w, 5, 5, 6, LAURINDO MORAES Leticia Cristina, 20.11.1995, BRA, 55, 54.90, 80, 84, *87, 84, 100, *105, *105, 100, 184, IberoAmerican Championships, 05.2019
19, w, 6, 4, 7, DOS REIS SANTOS Rosane, 20.06.1987, BRA, 55, 54.60, 85, *89, *90, 85, 95, , , 95, 180, IberoAmerican Championships, 05.2019
20, w, 7, 7, 5, SANDI PIZANGO Tessy Karen, 20.11.1996, PER, 55, 54.20, *73, 73, *77, 73, 95, 100, 105, 105, 178, IberoAmerican Championships, 05.2019
21, w, 8, 8, 9, RETAMALES CABRERA Mariana Paola, 17.01.1993, CHI, 55, 54.45, 65, 70, *72, 70, 85, *88, 88, 88, 158, IberoAmerican Championships, 05.2019
22, w, 9, 9, 8, VALDIVIEZO SALDARRIAGA Gianella Tatiana, 13.06.2002, PER, 55, 54.05, 63, 67, *70, 67, 85, 88, *90, 88, 155, IberoAmerican Championships, 05.2019
23, w, 1, 3, 1, FIGUEROA ROLDAN Yusleidy Mariana, 09.01.1993, VEN, 59, 58.60, *93, 93, *95, 93, 117, 122, 124, 124, 217, IberoAmerican Championships, 05.2019
24, w, 2, 2, 2, VENEGAS VALERA Anyelin Maria, 26.01.1999, VEN, 59, 59.00, *90, 90, 94, 94, 115, 118, *121, 118, 212, IberoAmerican Championships, 05.2019
