pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""w""";"=""1""";"=""1""";"=""1""";"=""RANDAFIARISON Rosina""";"=""29.12.1999""";"=""MAD""";"=""49""";"=""46.85""";"=""60""";"=""*68""";"=""68""";"=""68""";"=""*80""";"=""80""";"=""*87""";"=""80""";"=""148""";"=""Zone 2 African Championship""";"=""07.2019""";
"=""1""";"=""m""";"=""1""";"=""1""";"=""1""";"=""RAMIARIMANANA Jean Elariont Ricardo""";"=""22.07.1999""";"=""MAD""";"=""55""";"=""54.20""";"=""90""";"=""100""";"=""*102""";"=""100""";"=""110""";"=""*120""";"=""120""";"=""120""";"=""220""";"=""Zone 2 African Championship""";"=""07.2019""";
"=""2""";"=""m""";"=""2""";"=""2""";"=""2""";"=""NIYOYITA Davis""";"=""01.01.2004""";"=""UGA""";"=""55""";"=""54.45""";"=""65""";"=""70""";"=""*75""";"=""70""";"=""85""";"=""95""";"=""100""";"=""100""";"=""170""";"=""Zone 2 African Championship""";"=""07.2019""";
"=""3""";"=""m""";"=""3""";"=""3""";"=""3""";"=""KGASWANE Kgotla Alphius N""";"=""07.07.2000""";"=""BOT""";"=""55""";"=""54.20""";"=""50""";"=""60""";"=""*70""";"=""60""";"=""85""";"=""95""";"=""98""";"=""98""";"=""158""";"=""Zone 2 African Championship""";"=""07.2019""";
"=""4""";"=""w""";"=""1""";"=""1""";"=""1""";"=""LANGAT Winny Chepngeno""";"=""03.07.1988""";"=""KEN""";"=""59""";"=""58.25""";"=""55""";"=""61""";"=""64""";"=""64""";"=""76""";"=""*80""";"=""81""";"=""81""";"=""145""";"=""Zone 2 African Championship""";"=""07.2019""";
"=""5""";"=""w""";"=""2""";"=""2""";"=""2""";"=""MOYENGWA Magdeline""";"=""31.03.2001""";"=""BOT""";"=""59""";"=""58.40""";"=""*62""";"=""*62""";"=""62""";"=""62""";"=""75""";"=""78""";"=""*81""";"=""78""";"=""140""";"=""Zone 2 African Championship""";"=""07.2019""";
"=""6""";"=""m""";"=""1""";"=""1""";"=""1""";"=""ANDRIANTSITOHAINA Eric Herman""";"=""21.07.1991""";"=""MAD""";"=""61""";"=""60.25""";"=""100""";"=""*108""";"=""*108""";"=""100""";"=""130""";"=""140""";"=""147""";"=""147""";"=""247""";"=""Zone 2 African Championship""";"=""07.2019""";
"=""7""";"=""m""";"=""2""";"=""2""";"=""2""";"=""KIVUMBI Mubarak Musoke""";"=""01.12.1989""";"=""UGA""";"=""61""";"=""60.60""";"=""80""";"=""*85""";"=""*88""";"=""80""";"=""110""";"=""115""";"=""118""";"=""118""";"=""198""";"=""Zone 2 African Championship""";"=""07.2019""";
"=""8""";"=""m""";"=""3""";"=""4""";"=""3""";"=""OTUNDO BOSIRE Jesse Owens""";"=""23.10.1995""";"=""KEN""";"=""61""";"=""59.30""";"=""65""";"=""71""";"=""*76""";"=""71""";"=""85""";"=""91""";"=""*94""";"=""91""";"=""162""";"=""Zone 2 African Championship""";"=""07.2019""";
"=""9""";"=""m""";"=""4""";"=""3""";"=""4""";"=""SEBOTA Nkhahle Thapelo""";"=""08.07.1997""";"=""LES""";"=""61""";"=""59.85""";"=""*75""";"=""*75""";"=""75""";"=""75""";"=""*85""";"=""85""";"=""*93""";"=""85""";"=""160""";"=""Zone 2 African Championship""";"=""07.2019""";
"=""10""";"=""w""";"=""1""";"=""1""";"=""2""";"=""RAVOLOLONIAINA Elisa Vania""";"=""24.02.1992""";"=""MAD""";"=""64""";"=""63.75""";"=""82""";"=""*85""";"=""*85""";"=""82""";"=""100""";"=""*103""";"=""*103""";"=""100""";"=""182""";"=""Zone 2 African Championship""";"=""07.2019""";
"=""11""";"=""w""";"=""2""";"=""2""";"=""1""";"=""RANDRIANANDRASANA Sitrakiniaina N T""";"=""22.10.1998""";"=""MAD""";"=""64""";"=""63.00""";"=""*77""";"=""77""";"=""79""";"=""79""";"=""95""";"=""*102""";"=""102""";"=""102""";"=""181""";"=""Zone 2 African Championship""";"=""07.2019""";
"=""12""";"=""w""";"=""3""";"=""3""";"=""3""";"=""OKOTH Winnie Atieno""";"=""18.07.1991""";"=""KEN""";"=""64""";"=""62.55""";"=""71""";"=""*76""";"=""78""";"=""78""";"=""85""";"=""88""";"=""*93""";"=""88""";"=""166""";"=""Zone 2 African Championship""";"=""07.2019""";
"=""13""";"=""m""";"=""1""";"=""1""";"=""1""";"=""ANDRIATSITOHAINA Tojonirina Alain""";"=""26.02.1995""";"=""MAD""";"=""67""";"=""65.45""";"=""*130""";"=""130""";"=""*135""";"=""130""";"=""160""";"=""*170""";"=""*170""";"=""160""";"=""290""";"=""Zone 2 African Championship""";"=""07.2019""";
"=""14""";"=""m""";"=""2""";"=""2""";"=""2""";"=""SSEKITOLEKO Julius""";"=""07.08.2000""";"=""UGA""";"=""67""";"=""61.75""";"=""85""";"=""90""";"=""94""";"=""94""";"=""111""";"=""116""";"=""119""";"=""119""";"=""213""";"=""Zone 2 African Championship""";"=""07.2019""";
"=""15""";"=""w""";"=""1""";"=""1""";"=""1""";"=""NYIRO Wilkister""";"=""18.02.1992""";"=""KEN""";"=""71""";"=""68.80""";"=""55""";"=""60""";"=""*65""";"=""60""";"=""70""";"=""75""";"=""80""";"=""80""";"=""140""";"=""Zone 2 African Championship""";"=""07.2019""";
"=""16""";"=""m""";"=""1""";"=""1""";"=""1""";"=""MASINDE Anthony Libasia""";"=""30.08.1989""";"=""KEN""";"=""73""";"=""70.75""";"=""95""";"=""*105""";"=""105""";"=""105""";"=""125""";"=""135""";"=""140""";"=""140""";"=""245""";"=""Zone 2 African Championship""";"=""07.2019""";
"=""17""";"=""w""";"=""1""";"=""1""";"=""1""";"=""EYENGA MBOOSI Jeanne Gaelle""";"=""24.01.1999""";"=""CMR""";"=""76""";"=""74.75""";"=""80""";"=""84""";"=""88""";"=""88""";"=""100""";"=""106""";"=""*111""";"=""106""";"=""194""";"=""Zone 2 African Championship""";"=""07.2019""";
"=""18""";"=""w""";"=""2""";"=""3""";"=""2""";"=""NANKANJJA Hadijja""";"=""08.09.1995""";"=""UGA""";"=""76""";"=""72.95""";"=""*50""";"=""50""";"=""54""";"=""54""";"=""60""";"=""65""";"=""*70""";"=""65""";"=""119""";"=""Zone 2 African Championship""";"=""07.2019""";
"=""19""";"=""w""";"=""3""";"=""2""";"=""3""";"=""TSOSANE Makoena""";"=""14.08.1997""";"=""LES""";"=""76""";"=""73.85""";"=""47""";"=""51""";"=""57""";"=""57""";"=""*55""";"=""*55""";"=""55""";"=""55""";"=""112""";"=""Zone 2 African Championship""";"=""07.2019""";
"=""20""";"=""w""";"=""1""";"=""1""";"=""1""";"=""DJIFACK MA-ATEMKEN ZOMGOUA Rayssa""";"=""01.08.1998""";"=""CMR""";"=""81""";"=""80.20""";"=""*77""";"=""77""";"=""83""";"=""83""";"=""*100""";"=""100""";"=""*108""";"=""100""";"=""183""";"=""Zone 2 African Championship""";"=""07.2019""";
"=""21""";"=""m""";"=""1""";"=""1""";"=""1""";"=""NJOYA Ahmed Valdy""";"=""13.02.1999""";"=""CMR""";"=""81""";"=""80.70""";"=""120""";"=""127""";"=""130""";"=""130""";"=""160""";"=""*165""";"=""170""";"=""170""";"=""300""";"=""Zone 2 African Championship""";"=""07.2019""";
"=""22""";"=""m""";"=""2""";"=""2""";"=""2""";"=""YANOU KETCHANKE Jean Baptiste""";"=""19.07.1993""";"=""CMR""";"=""81""";"=""79.70""";"=""116""";"=""121""";"=""128""";"=""128""";"=""146""";"=""151""";"=""161""";"=""161""";"=""289""";"=""Zone 2 African Championship""";"=""07.2019""";
