pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""W""";"=""1""";"=""1""";"=""1""";"=""HE Yunhua""";"=""04.07.1988""";"=""CHN""";"=""48""";"=""47.67""";"=""72""";"=""76""";"=""78""";"=""78""";"=""93""";"=""98""";"=""100""";"=""100""";"=""178""";"=""3rd FISU WORLD UNIVERSITY CHAMPIONSHIPS""";"=""11.2012""";
"=""1""";"=""W""";"=""2""";"=""3""";"=""2""";"=""SANCHEZ Suzanna""";"=""31.07.1990""";"=""USA""";"=""48""";"=""47.72""";"=""59""";"=""61""";"=""* 63""";"=""61""";"=""76""";"=""78""";"=""81""";"=""81""";"=""142""";"=""3rd FISU WORLD UNIVERSITY CHAMPIONSHIPS""";"=""11.2012""";
"=""2""";"=""W""";"=""3""";"=""2""";"=""3""";"=""MALEC Emilia""";"=""25.12.1990""";"=""POL""";"=""48""";"=""47.81""";"=""* 60""";"=""60""";"=""62""";"=""62""";"=""77""";"=""* 78""";"=""* 78""";"=""77""";"=""139""";"=""3rd FISU WORLD UNIVERSITY CHAMPIONSHIPS""";"=""11.2012""";
"=""3""";"=""W""";"=""4""";"=""5""";"=""4""";"=""GUEVARA URIBE Edna Cristina""";"=""20.07.1989""";"=""COL""";"=""48""";"=""45.57""";"=""52""";"=""56""";"=""* 60""";"=""56""";"=""73""";"=""76""";"=""* 78""";"=""76""";"=""132""";"=""3rd FISU WORLD UNIVERSITY CHAMPIONSHIPS""";"=""11.2012""";
"=""4""";"=""W""";"=""---""";"=""4""";"=""---""";"=""SILVA E SILVA Flora""";"=""03.12.1992""";"=""BRA""";"=""48""";"=""47.33""";"=""58""";"=""* 62""";"=""* 62""";"=""58""";"=""* 75""";"=""* 75""";"=""* 76""";"=""---""";"=""0""";"=""3rd FISU WORLD UNIVERSITY CHAMPIONSHIPS""";"=""11.2012""";
"=""5""";"=""W""";"=""1""";"=""1""";"=""1""";"=""CHEN Xiaoting""";"=""11.01.1991""";"=""CHN""";"=""53""";"=""52.85""";"=""90""";"=""* 93""";"=""93""";"=""93""";"=""115""";"=""118""";"=""120""";"=""120""";"=""213""";"=""3rd FISU WORLD UNIVERSITY CHAMPIONSHIPS""";"=""11.2012""";
"=""6""";"=""W""";"=""2""";"=""2""";"=""2""";"=""SUTANAN Kittima""";"=""20.05.1992""";"=""THA""";"=""53""";"=""52.63""";"=""83""";"=""85""";"=""88""";"=""88""";"=""105""";"=""112""";"=""116""";"=""116""";"=""204""";"=""3rd FISU WORLD UNIVERSITY CHAMPIONSHIPS""";"=""11.2012""";
"=""7""";"=""W""";"=""3""";"=""3""";"=""4""";"=""DOS REIS SANTOS Rosane""";"=""20.06.1987""";"=""BRA""";"=""53""";"=""52.20""";"=""75""";"=""80""";"=""84""";"=""84""";"=""93""";"=""* 95""";"=""* 95""";"=""93""";"=""177""";"=""3rd FISU WORLD UNIVERSITY CHAMPIONSHIPS""";"=""11.2012""";
"=""8""";"=""W""";"=""4""";"=""4""";"=""3""";"=""MAMBUSCAY GUERRERO Leidy Yohana""";"=""13.06.1985""";"=""COL""";"=""53""";"=""52.52""";"=""71""";"=""* 74""";"=""* 74""";"=""71""";"=""* 94""";"=""* 94""";"=""94""";"=""94""";"=""165""";"=""3rd FISU WORLD UNIVERSITY CHAMPIONSHIPS""";"=""11.2012""";
"=""9""";"=""W""";"=""5""";"=""6""";"=""5""";"=""YANAGIDA Mizuki""";"=""05.09.1992""";"=""JPN""";"=""53""";"=""50.44""";"=""67""";"=""70""";"=""* 72""";"=""70""";"=""87""";"=""90""";"=""92""";"=""92""";"=""162""";"=""3rd FISU WORLD UNIVERSITY CHAMPIONSHIPS""";"=""11.2012""";
