pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""w""";"=""1""";"=""---""";"=""---""";"=""MIRABAI Chanu Saikhom""";"=""08.08.1994""";"=""IND""";"=""48""";"=""47.80""";"=""0.0""";"=""0.0""";"=""0.0""";"=""73""";"=""0.0""";"=""0.0""";"=""0.0""";"=""93""";"=""166""";"=""2013 COMMONWEALTH CHAMPIONSHIPS""";"=""11.2013""";
"=""1""";"=""w""";"=""2""";"=""---""";"=""---""";"=""VRIES Portia Charmaine""";"=""21.07.1984""";"=""RSA""";"=""48""";"=""47.27""";"=""0.0""";"=""0.0""";"=""0.0""";"=""70""";"=""0.0""";"=""0.0""";"=""0.0""";"=""87""";"=""157""";"=""2013 COMMONWEALTH CHAMPIONSHIPS""";"=""11.2013""";
"=""2""";"=""w""";"=""3""";"=""---""";"=""---""";"=""NAPPER Tegan Joy""";"=""03.11.1986""";"=""AUS""";"=""48""";"=""47.84""";"=""0.0""";"=""0.0""";"=""0.0""";"=""65""";"=""0.0""";"=""0.0""";"=""0.0""";"=""79""";"=""144""";"=""2013 COMMONWEALTH CHAMPIONSHIPS""";"=""11.2013""";
"=""3""";"=""w""";"=""4""";"=""---""";"=""---""";"=""POWELL Hannah Louise""";"=""12.12.1992""";"=""GBR""";"=""48""";"=""44.83""";"=""0.0""";"=""0.0""";"=""0.0""";"=""62""";"=""0.0""";"=""0.0""";"=""0.0""";"=""81""";"=""143""";"=""2013 COMMONWEALTH CHAMPIONSHIPS""";"=""11.2013""";
"=""4""";"=""w""";"=""5""";"=""---""";"=""---""";"=""TOUA Thelma Mea""";"=""30.03.1991""";"=""PNG""";"=""48""";"=""47.89""";"=""0.0""";"=""0.0""";"=""0.0""";"=""51""";"=""0.0""";"=""0.0""";"=""0.0""";"=""63""";"=""114""";"=""2013 COMMONWEALTH CHAMPIONSHIPS""";"=""11.2013""";
"=""5""";"=""w""";"=""---""";"=""---""";"=""---""";"=""NORAINUL Jannah""";"=""01.01.1988""";"=""MAS""";"=""48""";"=""47.69""";"=""0.0""";"=""0.0""";"=""0.0""";"=""57""";"=""0.0""";"=""0.0""";"=""0.0""";"=""---""";"=""0""";"=""2013 COMMONWEALTH CHAMPIONSHIPS""";"=""11.2013""";
"=""6""";"=""w""";"=""1""";"=""---""";"=""---""";"=""AZIZAH Binti Fadzil""";"=""14.01.1991""";"=""MAS""";"=""53""";"=""52.79""";"=""0.0""";"=""0.0""";"=""0.0""";"=""80""";"=""0.0""";"=""0.0""";"=""0.0""";"=""95""";"=""175""";"=""2013 COMMONWEALTH CHAMPIONSHIPS""";"=""11.2013""";
"=""7""";"=""w""";"=""2""";"=""---""";"=""---""";"=""AMALAHA Chika Joy""";"=""28.10.1997""";"=""NGR""";"=""53""";"=""52.82""";"=""0.0""";"=""0.0""";"=""0.0""";"=""80""";"=""0.0""";"=""0.0""";"=""0.0""";"=""95""";"=""175""";"=""2013 COMMONWEALTH CHAMPIONSHIPS""";"=""11.2013""";
"=""8""";"=""w""";"=""3""";"=""---""";"=""---""";"=""BINTI SYD ANUAR Sharifah Inani Najwa""";"=""01.01.1990""";"=""MAS""";"=""53""";"=""52.52""";"=""0.0""";"=""0.0""";"=""0.0""";"=""73""";"=""0.0""";"=""0.0""";"=""0.0""";"=""98""";"=""171""";"=""2013 COMMONWEALTH CHAMPIONSHIPS""";"=""11.2013""";
"=""9""";"=""w""";"=""4""";"=""---""";"=""---""";"=""MATSA Santoshi""";"=""10.03.1994""";"=""IND""";"=""53""";"=""52.82""";"=""0.0""";"=""0.0""";"=""0.0""";"=""73""";"=""0.0""";"=""0.0""";"=""0.0""";"=""98""";"=""171""";"=""2013 COMMONWEALTH CHAMPIONSHIPS""";"=""11.2013""";
