pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""0""";"=""w""";"=""1""";"=""5""";"=""1""";"=""MINCHEVA Donka""";"=""09.05.1973""";"=""BUL""";"=""48""";"=""47.78""";"=""80""";"=""*85""";"=""*85""";"=""80""";"=""102.5""";"=""107.5""";"=""113.5""";"=""113.5""";"=""192.5""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""1""";"=""w""";"=""2""";"=""1""";"=""4""";"=""INDRIYANI Sri""";"=""01.01.1978""";"=""INA""";"=""48""";"=""47.47""";"=""80""";"=""82.5""";"=""*85""";"=""82.5""";"=""97.5""";"=""102.5""";"=""*105""";"=""102.5""";"=""185""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""2""";"=""w""";"=""3""";"=""4""";"=""3""";"=""NIYANAGI Kaori""";"=""21.11.1977""";"=""JPN""";"=""48""";"=""47.71""";"=""75""";"=""*80""";"=""80""";"=""80""";"=""100""";"=""105""";"=""*107.5""";"=""105""";"=""185""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""3""";"=""w""";"=""4""";"=""2""";"=""5""";"=""LI Xuezhao""";"=""19.07.1979""";"=""CHN""";"=""48""";"=""47.00""";"=""75""";"=""*80""";"=""80""";"=""80""";"=""100""";"=""*105""";"=""*105""";"=""100""";"=""180""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""4""";"=""w""";"=""5""";"=""10""";"=""2""";"=""KUNJARANI Nameirakpam Devi""";"=""01.03.1968""";"=""IND""";"=""48""";"=""47.42""";"=""75""";"=""*80""";"=""*80""";"=""75""";"=""95""";"=""100""";"=""105""";"=""105""";"=""180""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""5""";"=""w""";"=""6""";"=""8""";"=""7""";"=""KAY Thi Win""";"=""26.05.1975""";"=""MYA""";"=""48""";"=""47.38""";"=""*77.5""";"=""77.5""";"=""*82.5""";"=""77.5""";"=""*97.5""";"=""97.5""";"=""*105""";"=""97.5""";"=""175""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""6""";"=""w""";"=""7""";"=""13""";"=""6""";"=""RUMBEWAS Raema Lisa""";"=""09.10.1980""";"=""INA""";"=""48""";"=""47.61""";"=""*75""";"=""75""";"=""*80""";"=""75""";"=""100""";"=""*102.5""";"=""*102.5""";"=""100""";"=""175""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""7""";"=""w""";"=""8""";"=""3""";"=""12""";"=""CHU Nan-Mei""";"=""18.10.1970""";"=""TPE""";"=""48""";"=""47.69""";"=""*80""";"=""*80""";"=""80""";"=""80""";"=""95""";"=""*100""";"=""*100""";"=""95""";"=""175""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""8""";"=""w""";"=""9""";"=""9""";"=""8""";"=""NOTT Tara""";"=""01.01.1972""";"=""USA""";"=""48""";"=""47.80""";"=""75""";"=""77.5""";"=""*80""";"=""77.5""";"=""97.5""";"=""*102.5""";"=""*102.5""";"=""97.5""";"=""175""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""9""";"=""w""";"=""10""";"=""7""";"=""9""";"=""KYI Kyi Than""";"=""19.12.1977""";"=""MYA""";"=""48""";"=""46.92""";"=""*77.5""";"=""77.5""";"=""*82.5""";"=""77.5""";"=""95""";"=""*100""";"=""*100""";"=""95""";"=""172.5""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
